src,dst,relationship
"neo4j-driver","neotime","DEPENDS_ON"
"neotime","six","DEPENDS_ON"
"neotime","pytz","DEPENDS_ON"
"scipy","numpy","DEPENDS_ON"
"pandas","numpy","DEPENDS_ON"
"pandas","pytz","DEPENDS_ON"
"pandas","python-dateutil","DEPENDS_ON"
"python-dateutil","six","DEPENDS_ON"
"pyspark","py4j","DEPENDS_ON"
"nltk","six","DEPENDS_ON"
"matplotlib","numpy","DEPENDS_ON"
"matplotlib","python-dateutil","DEPENDS_ON"
"matplotlib","six","DEPENDS_ON"
"matplotlib","pytz","DEPENDS_ON"
"spacy","six","DEPENDS_ON"
"spacy","numpy","DEPENDS_ON"
"spacy","requests","DEPENDS_ON"
"jupyter","nbconvert","DEPENDS_ON"
"jupyter","notebook","DEPENDS_ON"
"jupyter","ipykernel","DEPENDS_ON"
"jupyter","jupyter-console","DEPENDS_ON"
"jupyter-console","jupyter-client","DEPENDS_ON"
"jupyter-console","ipython","DEPENDS_ON"
"jupyter-console","ipykernel","DEPENDS_ON"
"jupyter-client","jupyter-core","DEPENDS_ON"
"nbconvert","jupyter-core","DEPENDS_ON"
